#,Year,TEAM,PLAYER SELECTED,PICK GRADE,INSTANT ANALYSIS
41,2021,San Antonio,Joe Wieskamp,A-,"The lanky wing is one of the draft's best pure shooters. Wieskamp fills it up from all over the floor with a quick release and rock-solid fundamentals. He is a tremendous catch-and-shoot performer, and can even attack over-aggressive closeouts with a slick dribble-drive game. He defended well at the NBA combine and impressed scouts with his willingness to compete. He still gives up a bit in terms of raw strength and speed, but Wieskamp's overall skill level and long-range shooting will allow him to stick in the league."
42,2021,Detroit,Isaiah Livers,B,"Livers is a very good perimeter shooter with a surprisingly thick frame. He rebounds better than most shooting specialists and he has the kind of raw physical strength that keeps him from getting picked on defensively. He suffered a fracture in his foot during his senior season with Michigan, which hurt his draft stock, but he seems to have fully recovered. He doesn't handle the ball at a high level and won't create his own offense, but Livers' spot-up shooting skills and high-IQ mentality should serve him well."
43,2021,Portland,Greg Brown,B-,"Brown is yet another eye-popping athlete from Texas. His overall skill level needs to improve, but his highlights will make anyone's jaws drop. He uses his athleticism effectively on both sides of the ball, flying for highlight-reel dunks and soul-shattering rejections. If Brown's basketball IQ or fundamentals ever catch up with his run-and-jump ability, he could be a high-end starter. But the gap between those areas is a bit too wide right now."
44,2021,Brooklyn,Kessler Edwards,B,"Edwards is an intriguing two-way wing with unexpectedly solid perimeter shooting ability and defensive versatility. At only 20, he has plenty of untapped upside remaining. We have yet to see him display any kind of off-the-dribble shot creation – for himself or for anyone else. But as a plug-and-play glue guy, Edwards fits the bill. Will his odd shooting form translate at the next level?"
45,2021,Boston,Juhann Begarin,B+,"Begarin is a blur in the open court who loves to mash dunks in a crowd. The lanky French wing has a terrific wingspan (nearly 7 feet) and the kind of mentality and instincts that translate well into a versatile, switchable defender. His brain has yet to catch up with his feet, however, as he reads the game a beat slow and his overall skillset will need some fine tuning. Begarin's athleticism and upside (he's only 19) are at least as good as anyone else's at this point in the draft, though."
46,2021,Toronto,Dalano Banton,C-,"Banton is an interesting point-forward who excels at making plays for others. At 6-7, Banton can make passes over the top of defense with either hand. However, he is a non-shooter at this point, and at age 21, it's unclear whether he can get his shooting stroke in order. He struggled to defend in college, as well."
47,2021,Toronto,David Johnson,B,"Johnson is a tough-as-nails combo guard whose NBA calling card will be his defensive tenacity and versatility. Offensively, he is an unselfish playmaker who has worked hard to improve his jump shot. It's hard to envision a scenario where he becomes an above-average NBA scoring threat, but if he can develop into a knock-down spot-up shooter, there is intriguing 3-and-D potential here."
48,2021,Atlanta,Sharife Cooper,A-,"Cooper plays with a unique flair for the dramatic. This pass-first point guard can drop dimes from any angle with either hand. Cooper is an excellent ball handler who can finish with either hand with an assortment of layups and floaters to keep the defense honest. It's hard to average 20 points and 8 assists per game at the college level, but Cooper is the rare kind of guard whose passes create openings that weren't there originally. On the downside, Cooper is extremely thin and he is a terrible 3-point shooter (under 23% on nearly 5 attempts per game). His value drops dramatically if defenders can simply sag under screens and dare him to shoot. But at this point in the draft, he is more than worth the gamble."
49,2021,Brooklyn,Marcus Zegarowski,B-,"Zegarowski is a tough, heady point guard who can knock down shots from well beyond the arc and effectively run an NBA offense. He's a strong pick-and-roll player with a nose for the ball on defense. He's extremely limited athletically and will give up serious size/length against the league's top guards, but there is a whiff of TJ McConnell potential here."
50,2021,Philadelphia,Filip Petrusev,B+,"The tall, long Serbian was the Adriatic League MVP and filled up the stat sheet with Mega Soccerbet. Prior to his overseas pro career, stateside hoops fans might remember Petrusev from his time with the Gonzaga Bulldogs. He started out as a post-only scorer, but has now developed into a knock-down 3-point shooter. He'll struggle defensively, as he is neither physical or quick, but his all-around offensive skillset is quite intriguing."
51,2021,LA Clippers,BJ Boston,A-,"Few prospects have Boston's upside at this point in the draft. He came into Kentucky as a consensus top-10 recruit and a likely lottery pick, but his stock took a serious tumble after a disappointing freshman season in Lexington. But few 6-7 wings have Boston's shot-creation ability – both for himself and others. At his best, Boston is a devastating one-on-one player with an array of stepbacks, leaners, and long-range bombs. He needs to add two helpings of strength and maturity before he can begin to approach his ceiling as a pro. At this point, Boston takes way too many bad shots and it's hard to envision an NBA coach who will tolerate that."
52,2021,Detroit,Luka Garza,B,"The consensus college basketball player of the year can do a bit of everything from the center spot. Need him to mash dudes on the block? Need him to knock down 3s (44%!)? Need him to crash the boards? Need him to make plays for others? Garza checks all the boxes. Why did he slide so far in the draft? Simple – he can't defend at an NBA level right now. He will get picked on in high pick-and-rolls incessantly until a coach has no choice but to sub him out. If Garza can develop into a passable defender, he will stick in the league. If not, well, he will always have all his collegiate accolades."
53,2021,Philadelphia,Charles Bassey,A-,"It seems as if we have been tracking Bassey's draft status for the last decade. Few big men are as productive as Bassey – 17.6 ppg, 11.6 rpg, 3.1 bpg – and he still has upside remaining. He is so long and athletic, and he uses every inch of that 7-3 wingspan to grab every rebound in his vicinity. He still finds himself out of position defensively, as he tries to block every shot in sight, but he works his butt off and always seeks to improve his game. He has even started to flash a little bit of a jump shot, which was not something we saw from him as a freshman."
54,2021,Milwaukee,Sandro Mamukelashvili,C+,"It's not every day you see someone with Mamukelashvili's frame who runs the offense like a guard. The burly power forward loves to pass out of the high post and even run point in transition. His shot mechanics are all over the place, but he shoots it without hesitation. He is a terrible defensive player – simultaneously not quick enough to guard on the perimeter or long enough to protect the rim or play drop coverage."
55,2021,Oklahoma City,Aaron Wiggins,B,"For someone who projects as a 3-and-D prospect, Wiggins flashes a nice all-around floor game with a decent outside stroke and occasional playmaking skills. He plays with great effort and intensity, as well. He doesn't have any single skill that pops out and gives up a bit of size/length compared to other 3-and-Ders, but Wiggins has a high floor compared to other second rounders."
56,2021,Charlotte,Scottie Lewis,B,"Lewis is one of the draft's best pure athletes and uses that athleticism most effectively on defense. Teams could take Lewis' film from Florida and use it to teach defensive fundamentals. Offensively, he's still a major work in progress. He is an inconsistent shooter, and the fewer dribbles he takes, the better. His defensive upside is well worth it at this late stage of round two."
57,2021,Detroit,Balsa Koprivica,C,"Koprivica is a high-energy center that has worked hard to develop his all-around skill level. The Serbian was a highly regarded recruit prior to joining Florida State, but he still needs to make serious improvements as a rebounder and positional defender – he often finds himself in foul trouble – if he hopes to make a dent in the NBA."
58,2021,New York,Jericho Sims,A-,"The final high-level athlete out of Texas is off the board. Sims is a – stop me if you've heard this before – jaw-dropping athlete who can hammer home dunks with the best of them. He gets after it on the glass and loves to block every shot within a 10-foot radius. He is a non-shooter who struggles big time at the foul line, and he often finds himself a step behind the game in half-court settings, but if Sims can put it all together, he could be a steal at 58."
59,2021,Brooklyn,Raiquan Gray,B,"I don't think I've ever seen a player quite like Gray. Anthony Mason maybe? No, that's not quite right – Mason was taller. Gray is an impossible-to-define playmaking boulder with much more shimmy and shake than one would expect with his frame. Florida State utilized him as an offensive hub who could do a little bit of everything with the ball in his hands. He struggles mightily with two important things – his shot and his weight. His 3pt% (26.7) is almost identical to his listed weight (269). One needs to go way up, and the other needs to go way down."
60,2021,Milwaukee,Georgios Kalaitzakis,C-,"This lanky/scrawny Greek wing has been a big-time winner at every level in his professional career. He is an active slasher who loves to put pressure on opposing defenses, but he's wild (occasionally careless) with the ball and will need to improve his body before he can handle the rigors of the NBA. He is a likely draft-and-stash prospect."
